"CONTRATO","PNCP_PROCESSO","EMPRESA","Processo do pagamento","É ATA?","POSSUI ADITIVO?","TIPO DE ADITIVO","VIGÊNCIA","VALOR DO CONTRATO","VALOR LIQUIDADO","SALDO"
"013","05055033000152-1-000043/2025","MILANFLEX INDUSTRIA E COMERCIO DE MOVEIS E EQUIPAMENTOS LTDA","2425-2025-SEMEC","Não","Não","-","15/04/2025 a 14/04/2026","757953.44","0","757953.44"
"014","05055033000152-1-000041/2025","FRANCISCO PEDROZA DE CARVALHO","17954-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","0","0","0"
"014","05055033000152-1-000049/2025","VIDA COMERCIO DE BEBIDAS LTDA","7590-2025-SEMEC","Não","Não","-","12/05/2025 a 11/05/2026","61398.04","0","61398.04"
"014","49159407000155-1-000001/2025","VIANA LOCADORA DE VEICULOS LTDA","1051/2025-GMB","Sim","Não","-","20/10/2025 a 20/10/2026","1165000","0","1165000"
"015","05055009000628-1-000008/2025","WPP - COMERCIO DE MOTOS LTDA.","1477/2025-GMB","Não","Não","-","31/10/2025 a 31/10/2026","28602.6","0","28602.6"
"015","05055033000152-1-000024/2025","CASA DA AMIZADE DE BELEM","17945-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","380699.76","0","380699.76"
"015","05055033000152-1-000050/2025","LUCIANE AMANAJAS DE FIGUEIREDO","6409-2025-SEMEC","Não","Não","-","13/05/2025 a 30/04/2027","312000","0","312000"
"015/2025","05065644000181-1-000005/2025","INSTITUTO BEBE NAIFF - IBN","6647/2025","Não","Não","-","15/10/2025 a 15/10/2026","806742","0","806742"
"016","05055033000152-1-000022/2025","MARIA TEREZA SOUTO DA SILVA","17878-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","1386792","0","1386792"
"016","05055033000152-1-000085/2025","REDE ABA SUPERMERCADOS LTDA","3572-2025-SEMEC","Sim","Não","-","15/05/2025 a 14/05/2026","8727356","0","8727356"
"017","05055033000152-1-000012/2025","ANITA KARINE OLIVEIRA CEI","17969-2024-SEMEC","Não","Sim","Valor","06/01/2025 a 06/01/2027","151286.4","0","151286.4"
"018","05055033000152-1-000056/2025","SYNERGO NEGOCIOS LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2027","195130","0","195130"
"018","49159407000155-1-000002/2025","AGUAS DO PARA A SPE S.A.","1501/2025-GMB","Não","Não","-","13/11/2025 a 13/11/2026","44000","0","44000"
"018/2025","05065644000181-1-000004/2025","ADENIR DOS SANTOS COSTA FILHO","8718/2025","Não","Não","-","22/10/2025 a 21/10/2026","84000","0","84000"
"019","05055033000152-1-000030/2025","RAIMUNDO ALESSANDRO FURTADO GONCALVES","17943-2024-SEMEC","Não","Não","-","06/01/2025 a 06/01/2027","88250.4","0","88250.4"
"019","05055033000152-1-000057/2025","BZ COMERCIO E SERVICOS LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","137950","0","137950"
"02","05055009000113-1-000014/2025","KAPA CAPITAL FACILITIES LTDA","125/2025","Sim","Não","-","04/02/2026 a 04/02/2027","60123.36","0","60123.36"
